state,district,UFI,UFI_Category,demo_update_intensity_normalized,bio_refresh_rate_normalized,age_disparity_normalized,update_enrol_ratio_normalized,temporal_volatility_normalized
Chandigarh,Chandigarh,100.0,Very High Friction,76.91987002312722,1.12081615806917,4.707485434504044,81.38614405603082,95.58460893518395
Chhattisgarh,Rajnandgaon,95.17807459754016,Very High Friction,100.0,14.948918290072886,100.0,100.0,94.52814576834129
Uttarakhand,Udham Singh Nagar,92.24068934787249,Very High Friction,52.24969205853647,3.51982386217125,30.279262941020736,40.98689375092104,92.5207001888106
Assam,Bongaigaon,91.44805167601315,Very High Friction,20.055051351930825,1.34043363546847,0.16922624996419264,17.19643195023023,91.71288532339126
Manipur,Churachandpur,91.42688650918456,Very High Friction,4.5856195433307985,1.0786746528635718,0.1317157670082484,4.588146553291031,66.56069853558957
Bihar,Kishanganj,91.3330965009731,Very High Friction,33.702687016146356,7.191329285089791,12.479308867058387,30.764275276692405,41.934945822956934
Tripura,West Tripura,90.4293519803019,Very High Friction,34.65754403858451,2.505214674308725,0.4746974984057195,71.04722184266691,60.80707298130886
Gujarat,Ahmedabad,89.8575470323541,Very High Friction,26.33160281848935,5.8828459780211375,0.5771899623194646,42.641910746853256,83.4810973749946
Odisha,Ganjam,87.96231512020306,Very High Friction,22.315680961840272,2.935044033824496,25.75165411706204,42.083490171458706,69.23893876573813
Mizoram,Lawngtlai,87.62016235150588,Very High Friction,2.8199578623547326,1.2621611335771765,0.02151103597240735,10.882964948043268,61.236540813586785
Haryana,Yamuna Nagar,87.46302634021349,Very High Friction,42.14498299319726,52.04469702572857,16.65075948598133,63.02435177194925,90.8877675720918
Madhya Pradesh,Mandla,85.70766402382563,Very High Friction,39.717708116617736,33.27573694877171,20.708625728693164,40.923943344708064,92.47422479467679
Punjab,Bathinda,84.74802342862262,Very High Friction,35.13918871412611,5.03688658826783,10.236811974511486,65.12813460213462,74.74010766595016
Tamil Nadu,Tiruppur,84.67842887098166,Very High Friction,28.26079562409365,11.135021854230601,48.27008470234326,44.05978232596357,71.11864618103677
Karnataka,Hassan,84.07987944946268,Very High Friction,36.20695156510373,1.98368723177395,21.12407402160835,47.42904788543242,81.53330252879721
Andhra Pradesh,Srikakulam,83.10633486332509,Very High Friction,65.7624461053174,2.8481703185573854,12.177489936246454,96.13500223146573,83.84780980202264
Rajasthan,Ganganagar,82.82971682883368,Very High Friction,32.09164694493996,41.56147973657912,4.938709358762552,42.80099511167849,83.31375426151685
Jammu And Kashmir,Anantnag,82.43983195051364,Very High Friction,30.028385258470653,1.6475981237504318,12.304415250701295,31.31637777426462,86.7623778432224
Nagaland,Tuensang,80.66259162172419,Very High Friction,2.1000990432758413,7.248131098150972,0.02236434627415699,6.2014610554342084,34.74989610356472
Delhi,North West Delhi,80.41460400076282,Very High Friction,49.17193605971079,1.6164715653880466,0.9740413506299864,46.67524472516324,99.09765295837902
